Url,ImageUrl,StyleNumber,Color,Size,Name,ReviewNumber,MaxPrice,Brand,Bullets,Description,Sport,AverageRating,Clothing,MinPrice,Gender
https://athleta.gap.com/browse/product.do?pid=515556022&cid=1023334&pcid=1006482&vid=1&grid=pds_107_193_1,https://athleta.gap.com/webcontent/0017/662/032/cn17662032.jpg,515556,['Spring Night'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Nirvana Side Tie Sweatshirt,3,"{'price': '79.00', 'update_time': '2019-10-16'}",athleta,"['TENCEL™ Modal/Cotton/Spandex ', 'SUSTAINABLE: TENCEL™ Modal fiber is made from sustainably sourced wood pulp where 99% of the raw material comes from certified or controlled sources ', 'EASY CARE. Just throw in the wash and dry without a second thought ', 'PACKABLE. Packs down small and comes out smooth as can be ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Nirvana is the softest fabric imaginableFAVE: Side tie details let you customize your fit #515556']",,,3.0,,"{'price': '79.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=417739032&cid=1023336&pcid=1006482&vid=1&grid=pds_165_193_1,https://athleta.gap.com/webcontent/0017/300/060/cn17300060.jpg,417739,['Maple Red Heather'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Mindset Sweatshirt Dress,91,"{'price': '89.00', 'update_time': '2019-10-16'}",athleta,"['TENCEL Modal™/Spandex ', 'BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ', 'SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources ', 'EASY CARE. Just throw in the wash and dry without a second thought ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Nirvana is the softest fabric imaginableFAVE: Tulip-edged hemline flatters your form #417739']",,,4.5,,"{'price': '89.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=487631002&cid=1023333&pcid=1006482&vid=1&grid=pds_54_193_1,https://athleta.gap.com/webcontent/0017/421/642/cn17421642.jpg,487631,['Black'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Crescent 2-in-1 Short,7,"{'price': '69.00', 'update_time': '2019-10-16'}",athleta,"['Nylon/Elastane ', 'WICKING. Pulls sweat away from the body so it can evaporate faster ', 'QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ', 'BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ', 'RATED UPF 50+ (Excellent Protection) ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Inner shorts feel barely there but hug your body supportivelyStash pockets on side hold your essentialsMesh outer layer provides coverage and breathability #487631']",,,4.4,,"{'price': '69.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=502398002&cid=1144189&pcid=1006482&vid=1&grid=pds_16_193_1,https://athleta.gap.com/webcontent/0017/662/010/cn17662010.jpg,502398,['Spring Night'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Pure Luxe Leopard Print Sweatshirt,48,"{'price': '79.00', 'update_time': '2019-10-16'}",athleta,"['TENCEL™ Modal/Polyester/Lycra ', 'SUSTAINABLE: TENCEL™ Modal fiber is made from sustainably sourced wood pulp where 99% of the raw material comes from certified or controlled sources ', 'PACKABLE. Packs down small and comes out smooth as can be ', 'EASY CARE. Just throw in the wash and dry without a second thought ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Relaxed with room to moveFEEL: Nirvana is the softest fabric imaginableFAVE: Banded hem provides a stay-put live-in comfortable fit and on-trend leopard print. #502398']",,,4.9,,"{'price': '79.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=870422162&cid=1023334&pcid=1006482&vid=1&grid=pds_114_193_1,https://athleta.gap.com/webcontent/0017/885/074/cn17885074.jpg,870422,['Rosario Pink'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Coaster Luxe Sweatshirt,2273,"{'price': '79.00', 'update_time': '2019-10-16'}",athleta,"['Lenzing Modal®/Polyester/Lycra ', 'PLUSH NIRVANA. Serenely soft Lenzing Modal® blend has a brushed inner construction for warmth & coziness ', 'SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources. ', 'BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ', 'IT FEELS: Lightweight, unbelievably soft, stretchy comfortable ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Commuting, work and travelFEEL: Plush Nirvana has a cozy brushed interiorFAVE: Longer hem length provides more coverageSide-slits for added mobility #870422']",,,4.7,,"{'price': '79.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=486285002&cid=1023334&pcid=1006482&vid=1&grid=pds_87_193_1,https://athleta.gap.com/webcontent/0017/571/295/cn17571295.jpg,486285,['Black'],"['XS', 'S', 'M', 'L', 'XL']",Foresthill Merino Wool Ascent Tank,32,"{'price': '59.00', 'update_time': '2019-10-16'}",athleta,"['Wool/Nylon ', 'EASY CARE. Just throw in the wash and dry without a second thought ', 'BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ', 'Machine wash and lay flat to dry. ', 'Imported. ', 'Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Chafe-free seamless merino wool blend stretches with youFAVE: Targeted open-hole mesh provides cooling airflowRuching on side for a feminine detail #486285']",,,4.8,,"{'price': '59.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=486693012&cid=1063661&pcid=1006482&vid=1&grid=pds_129_193_1,https://athleta.gap.com/webcontent/0017/759/469/cn17759469.jpg,486693,['Natural'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Tugga Sherpa Jacket,38,"{'price': '128.00', 'update_time': '2019-10-16'}",athleta,"['Polyester ', 'EASY CARE. Just throw in the wash and dry without a second thought ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Unbelievably cozy sherpa fabric feels soft on the skinFAVE: Zip pockets secure your essentialsHigh collar for extra coziness #486693']",,,4.8,,"{'price': '128.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=499333012&cid=1063661&pcid=1006482&vid=1&grid=pds_133_193_1,https://athleta.gap.com/webcontent/0017/888/440/cn17888440.jpg,499333,['White'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Flurry Force Insulated PrimaLoft® Jacket,20,"{'price': '138.00', 'update_time': '2019-10-16'}",athleta,"['Nylon/Lycra ', 'WATER-REPELLENT. Sleek fabric wards off unexpected light rain ', 'SUSTAINABLE. PRIMALOFT® ECO offers a synthetic alternative to down insulation ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Medium and high impact workouts in cold climates.FEEL: Chafe-free seamless fabric stretches with every move.FAVE: Sleek, woven paneling with Primaloft® Eco insulation to provide weightless warmth.Zip pockets secure your essentials. #499333']",,,4.9,,"{'price': '138.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=486373012&cid=1051661&pcid=1006482&vid=1&grid=pds_144_193_1,https://athleta.gap.com/webcontent/0017/778/673/cn17778673.jpg,374207,['Antique Burgundy/ Torch Red'],"['XS', 'S', 'M', 'L', 'XL']",Tenacity Mesh Plunge Bra,7,"{'price': '59.00', 'update_time': '2019-10-16'}",athleta,"['Polyester/Lycra ', 'BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ', 'WICKING. Pulls sweat away from the body so it can evaporate faster ', 'RATED UPF 50+ (Excellent Protection) ', 'Machine wash and line dry. ', 'Imported. ', 'Product Details : FOR: Medium and high impact workouts at the gym, studio or outdoorsFEEL: PowerLift fabric feels smooth and cool in your hand, sleek and compressive on your body.FAVE: Targeted mesh ventilation provides cooling airflowEasy pocket for use of our Empower Pad Mastectomy Bra Insert (#374207) if needed #486373']",,,4.7,,"{'price': '59.00', 'update_time': '2019-10-16'}",women
https://athleta.gap.com/browse/product.do?pid=487674012&cid=1124332&pcid=1006482&vid=1&grid=pds_3_193_1,https://athleta.gap.com/webcontent/0017/646/243/cn17646243.jpg,487674,['Maple Red'],"['XXS', 'XS', 'S', 'M', 'L', 'XL']",Elation Ice Dye 7/8 Tight in Powervita™,50,"{'price': '89.00', 'update_time': '2019-10-16'}",athleta,"['Recycled Polyester/Lycra ', 'SUSTAINABLE: Made from Recycled Poly, a material sourced from post-consumer plastic bottles that helps lessen our impact on the world ', 'BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ', 'QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ', 'WICKING. Pulls sweat away from the body so it can evaporate faster ', 'RATED UPF 50+ (Excellent Protection) ', 'Machine wash and dry. ', 'Imported. ', 'Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Unpinchable three-layer waistband with mesh inner lining streamlines and supportsBreathable CoolMax® crotch gusset #487674']",,,4.8,,"{'price': '89.00', 'update_time': '2019-10-16'}",women
